pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1040014","2013","Nitrate","Blackduck","Beltrami","Blackduck","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","797","27007"
"1040017","2013","Nitrate","Kelliher","Beltrami","Kelliher","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","266","27007"
"1050001","2013","Nitrate","Foley","Benton","Foley","Groundwater","0.65 mg/L","1.6 mg/L","2636","27009"
"1050002","2013","Nitrate","Rice","Benton","Rice","Groundwater","3.41 mg/L","7.0 mg/L","1279","27009"
"1050003","2013","Nitrate","Rockwood Estates","Benton","Rice","Groundwater","2.7 mg/L","2.7 mg/L","400","27009"
"1050009","2013","Nitrate","Benton Utilities LLC","Benton","Rice","Groundwater","0.8 mg/L","0.8 mg/L","120","27009"
"1050004","2013","Nitrate","Sauk Rapids","Benton","Sauk Rapids","Groundwater","2.38 mg/L","4.8 mg/L","13083","27009"
"1050005","2013","Nitrate","Fischers Garden Mobile Home Park","Benton","Sauk Rapids","Groundwater","0.42 mg/L","0.81 mg/L","220","27009"
"1060002","2013","Nitrate","Beardsley","Big Stone","Beardsley","Groundwater","0.71 mg/L","1.4 mg/L","231","27011"
"1060003","2013","Nitrate","Clinton","Big Stone","Clinton","Groundwater","1.5 mg/L","1.5 mg/L","450","27011"
"1060010","2013","Nitrate","Lismore Colony","Big Stone","Clinton","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","77","27011"
"1060004","2013","Nitrate","Correll","Big Stone","Correll","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","32","27011"
"1060005","2013","Nitrate","Graceville","Big Stone","Graceville","Groundwater","1.0 mg/L","1.0 mg/L","565","27011"
"1060009","2013","Nitrate","Big Stone Hutterite","Big Stone","Graceville","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","75","27011"
"1060006","2013","Nitrate","Johnson","Big Stone","Johnson","Groundwater","0.07 mg/L","0.07 mg/L","32","27011"
"1060007","2013","Nitrate","Odessa","Big Stone","Odessa","Groundwater","0.17 mg/L","0.17 mg/L","113","27011"
"1060008","2013","Nitrate","Ortonville","Big Stone","Ortonville","Groundwater","0.1 mg/L","0.1 mg/L","1916","27011"
"1070001","2013","Nitrate","Amboy","Blue Earth","Amboy","Groundwater","0.8 mg/L","0.8 mg/L","534","27013"
"1070002","2013","Nitrate","Eagle Lake","Blue Earth","Eagle Lake","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","2520","27013"
"1070005","2013","Nitrate","Good Thunder","Blue Earth","Good Thunder","Groundwater","1.3 mg/L","1.3 mg/L","583","27013"
"1070006","2013","Nitrate","Lake Crystal","Blue Earth","Lake Crystal","Groundwater","1.2 mg/L","1.2 mg/L","2554","27013"
"1070007","2013","Nitrate","Madison Lake","Blue Earth","Madison Lake","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","1017","27013"
"1070009","2013","Nitrate","Mankato","Blue Earth","Mankato","Groundwater","0.69 mg/L","3.6 mg/L","39624","27013"
"1070012","2013","Nitrate","Hillcrest Health Care Center","Blue Earth","Mankato","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","94","27013"
"1070016","2013","Nitrate","Rapidan Development Company, Inc.","Blue Earth","Mankato","Groundwater","0.52 mg/L","0.52 mg/L","164","27013"
"1070020","2013","Nitrate","Southview Heights","Blue Earth","Mankato","Groundwater","0.89 mg/L","0.89 mg/L","210","27013"
"1070021","2013","Nitrate","Stony Creek Well Association","Blue Earth","Mankato","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","51","27013"
"1070022","2013","Nitrate","Riverbend Estates","Blue Earth","Mankato","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","60","27013"
"1070024","2013","Nitrate","School Sisters of Notre Dame","Blue Earth","Mankato","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","165","27013"
"1070025","2013","Nitrate","Terrace View East Condominium Assoc.","Blue Earth","Mankato","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","25","27013"
"1070026","2013","Nitrate","South Bend Township","Blue Earth","Mankato","Groundwater","0.14 mg/L","0.14 mg/L","325","27013"
"1070013","2013","Nitrate","Mapleton","Blue Earth","Mapleton","Groundwater","0.93 mg/L","0.93 mg/L","1756","27013"
"1070015","2013","Nitrate","Pemberton","Blue Earth","Pemberton","Groundwater","0.62 mg/L","0.62 mg/L","247","27013"
"1070018","2013","Nitrate","Skyline","Blue Earth","Skyline","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","297","27013"
"1070017","2013","Nitrate","Saint Clair","Blue Earth","St. Clair","Groundwater","0.48 mg/L","0.48 mg/L","875","27013"
"1070019","2013","Nitrate","Vernon Center","Blue Earth","Vernon Center","Groundwater","0.68 mg/L","0.68 mg/L","332","27013"
"1080010","2013","Nitrate","Cobden","Brown","Cobden","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","36","27015"
"1080001","2013","Nitrate","Comfrey","Brown","Comfrey","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","375","27015"
"1080009","2013","Nitrate","Evan","Brown","Evan","Purchased Groundwater","0.03 mg/L","0.03 mg/L","86","27015"
"1080002","2013","Nitrate","Hanska","Brown","Hanska","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","393","27015"
"1080003","2013","Nitrate","New Ulm","Brown","New Ulm","Groundwater","1.6 mg/L","1.6 mg/L","13522","27015"
"1080004","2013","Nitrate","Skyview Mobile Villa","Brown","New Ulm","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","90","27015"
"1080005","2013","Nitrate","Sleepy Eye","Brown","Sleepy Eye","Groundwater","1.0 mg/L","1.0 mg/L","3599","27015"
"1080008","2013","Nitrate","Springfield","Brown","Springfield","Groundwater","2.0 mg/L","2.0 mg/L","2129","27015"
"1090001","2013","Nitrate","Barnum","Carlton","Barnum","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","525","27017"
"1090003","2013","Nitrate","Carlton","Carlton","Carlton","Groundwater","0.12 mg/L","0.12 mg/L","987","27017"
"1090005","2013","Nitrate","Cloquet","Carlton","Cloquet","Groundwater","1.21 mg/L","2.2 mg/L","12156","27017"
"1090007","2013","Nitrate","Cromwell","Carlton","Cromwell","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","229","27017"
"1090008","2013","Nitrate","Kettle River","Carlton","Kettle River","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","180","27017"
"1090009","2013","Nitrate","Moose Lake","Carlton","Moose Lake","Groundwater","1.9 mg/L","1.9 mg/L","1259","27017"
"1090010","2013","Nitrate","MN Correctional Facility - Moose Lake","Carlton","Moose Lake","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","975","27017"
"1090011","2013","Nitrate","Scanlon","Carlton","Scanlon","Purchased Groundwater","1.21 mg/L","2.2 mg/L","987","27017"
"1090013","2013","Nitrate","Wrenshall","Carlton","Wrenshall","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","399","27017"
"1100017","2013","Nitrate","Carver","Carver","Carver","Groundwater","0.16 mg/L","0.3 mg/L","4000","27019"
"1100001","2013","Nitrate","Chanhassen","Carver","Chanhassen","Groundwater","0.03 mg/L","0.05 mg/L","23179","27019"
"1100002","2013","Nitrate","Chaska","Carver","Chaska","Groundwater","0.4 mg/L","0.78 mg/L","24048","27019"
"1100004","2013","Nitrate","Cologne","Carver","Cologne","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","1519","27019"
"1100005","2013","Nitrate","Hamburg","Carver","Hamburg","Groundwater","0.27 mg/L","0.27 mg/L","525","27019"
"1100006","2013","Nitrate","Mayer","Carver","Mayer","Groundwater","1.1 mg/L","1.1 mg/L","1767","27019"
"1100007","2013","Nitrate","New Germany","Carver","New Germany","Groundwater","0.3 mg/L","0.58 mg/L","373","27019"
"1100019","2013","Nitrate","Norwood-Young America","Carver","Norwood Young America","Groundwater","0.5 mg/L","0.56 mg/L","3583","27019"
"1100015","2013","Nitrate","Crown College","Carver","St. Bonifacius","Groundwater","0.43 mg/L","0.43 mg/L","520","27019"
"1100009","2013","Nitrate","Victoria","Carver","Victoria","Groundwater","0.43 mg/L","0.43 mg/L","8462","27019"
"1100010","2013","Nitrate","Waconia","Carver","Waconia","Groundwater","1.2 mg/L","1.2 mg/L","11065","27019"
"1100012","2013","Nitrate","Watertown","Carver","Watertown","Groundwater","1.15 mg/L","1.2 mg/L","4216","27019"
"1110002","2013","Nitrate","Backus","Cass","Backus","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","250","27021"
"1110006","2013","Nitrate","Cass Lake","Cass","Cass Lake","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","761","27021"
"1111112","2013","Nitrate","East Point Townhomes","Cass","East Gull Lake","Groundwater","null","null","75","27021"
"1110008","2013","Nitrate","Hackensack","Cass","Hackensack","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","313","27021"
"1110034","2013","Nitrate","Townsedge Estates","Cass","Longville","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","65","27021"
"1110030","2013","Nitrate","Pillager","Cass","Pillager","Groundwater","0.03 mg/L (ND)","0.03 mg/L (ND)","495","27021"
